#tag	x_m	y_m	Z_Base_Tikuna 
HORMIGA-1X	4122030.305	10052837.46	-2780.3
HORMIGA-4	4121105.01	10053872.66	-2863
LAS_CHICAS-1	4169690.69	10034331.8	-2680.33
LORO-1	4121145.516	10042574.87	-2744.41
LORO-10	4121516.493	10045927.46	-2762
LORO-9	4121137.17	10045632.9	-2701.94
LUCILLE-1	4149662.011	10073591.65	-2889.18
MANDARINA-1	4233141.129	10153921.68	-615.13
MANDUR-3	4204621.636	10085026.02	-1851.21
MANDUR-4	4221930.035	10084990.34	-1443.95
MANSOYA-1	4178170.892	10083604.69	-2426.66
MAXWILDCAT-1	4146043.961	10070287.2	-2892.86
MECAYA-1	4204692.335	10083817.78	-1807.66
MIRANCHUR-1	4158090.778	10062278.11	-2745.57
NANCY-1	4138570.682	10063026.72	-2892.94
PUTUMAYO-1	4148315.445	10045004.03	-2713.05
QUILILI-1	4170921.914	10063100.54	-2527.17
QUILILI-2	4169006.773	10061535.38	-2529.66
QUILLACINGA-1	4159894.655	10029120.96	-2558.44
RIO_SEVILLA-1	4227844.343	10079389.42	-1372.52
SAN_MIGUEL-1	4118280.903	10033958.82	-2801.91
SIBUNDOY-1	4173873.338	10077960.15	-2476.35
TAMBOR-1	4188418.911	10121012.34	-2197.64
TEMBLON-1X	4129602.955	10033040.83	-2783.39
UMBRIA-1	4160506.16	10093097.31	-2929.88
